Date,Ticker,Close,Daily_Return,MA_7,MA_21,Volatility_30
2024-04-02 00:00:00,HDFCBANK.NS,720.367858886719,,720.367858886719,720.367858886719,0.0
2024-04-03 00:00:00,HDFCBANK.NS,721.414306640625,0.00145265747353507,720.891082763672,720.891082763672,0.523223876953125
2024-04-04 00:00:00,HDFCBANK.NS,743.461181640625,0.0305606290269798,728.41444905599,728.41444905599,10.648220018092
2024-04-05 00:00:00,HDFCBANK.NS,754.143920898438,0.0143689267464355,734.846817016602,734.846817016602,14.4625210425915
2024-04-08 00:00:00,HDFCBANK.NS,752.708190917969,-0.00190378777933835,738.419091796875,738.419091796875,14.7775573201077
2024-04-09 00:00:00,HDFCBANK.NS,753.6572265625,0.00126082810839862,740.958780924479,740.958780924479,14.6366072326174
2024-04-10 00:00:00,HDFCBANK.NS,747.719665527344,-0.00787833092537043,741.924621582031,741.924621582031,13.755836429228
2024-04-12 00:00:00,HDFCBANK.NS,739.251281738281,-0.0113256133006613,744.622253417969,741.590454101563,12.8977452184201
2024-04-15 00:00:00,HDFCBANK.NS,727.449096679688,-0.0159650518709173,745.484366280692,740.019192165799,12.9467836711608
2024-04-16 00:00:00,HDFCBANK.NS,734.530456542969,0.00973450911631187,744.208548409598,739.470318603516,12.3922817257953
2024-04-18 00:00:00,HDFCBANK.NS,727.449096679688,-0.00964066200414523,740.395002092634,738.377480246804,12.3105977546462
2024-04-19 00:00:00,HDFCBANK.NS,745.261901855469,0.0244866689051985,739.331246512277,738.951182047526,11.9390976894366
2024-04-22 00:00:00,HDFCBANK.NS,735.966125488281,-0.0124731672772269,736.803946358817,738.721562312199,11.4982599968638
2024-04-23 00:00:00,HDFCBANK.NS,733.727355957031,-0.00304194643437519,734.805044991629,738.36483328683,11.1544043100597
2024-04-24 00:00:00,HDFCBANK.NS,735.722839355469,0.00271965244615244,734.300981794085,738.188700358073,10.7963113669372
2024-04-25 00:00:00,HDFCBANK.NS,735.260498046875,-0.000628417773463149,735.416896275112,738.005687713623,10.4774864522218
2024-04-26 00:00:00,HDFCBANK.NS,734.798156738281,-0.000628812930684975,735.455139160156,737.817009420956,10.1926346567851
2024-04-29 00:00:00,HDFCBANK.NS,744.385864257813,0.0130480832479091,737.874677385603,738.181945800781,10.0190908352177
2024-04-30 00:00:00,HDFCBANK.NS,739.810974121094,-0.00614585842690622,737.095973423549,738.267684133429,9.75864886045904
2024-05-02 00:00:00,HDFCBANK.NS,745.724182128906,0.00799286333220114,738.489981515067,738.640509033203,9.64938526097509
2024-05-03 00:00:00,HDFCBANK.NS,739.567626953125,-0.00825580733912291,739.32430594308,738.68465750558,9.41890534304829
2024-05-06 00:00:00,HDFCBANK.NS,741.052062988281,0.00200716740573386,740.085623604911,739.669619605655,9.21555303146808
2024-05-07 00:00:00,HDFCBANK.NS,733.021728515625,-0.0108363971625341,739.765799386161,740.222353980655,9.08948870706461
2024-05-08 00:00:00,HDFCBANK.NS,721.584594726563,-0.015602721371197,737.878147670201,739.180611746652,9.52143274867905
2024-05-09 00:00:00,HDFCBANK.NS,704.477600097656,-0.0237075385948182,732.176967075893,736.815548851376,11.3911925348961
2024-05-10 00:00:00,HDFCBANK.NS,709.361572265625,0.00693275721938032,727.827052525112,734.751424153646,12.3291057101328
2024-05-13 00:00:00,HDFCBANK.NS,717.9208984375,0.0120662388639653,723.855154854911,733.049694242932,12.5436937670685
2024-05-14 00:00:00,HDFCBANK.NS,720.732849121094,0.00391679736543921,721.164472307478,731.764607747396,12.59153559029
2024-05-15 00:00:00,HDFCBANK.NS,709.657592773438,-0.0153666595898357,716.679547991071,730.355384463356,13.1645260068648
2024-05-16 00:00:00,HDFCBANK.NS,720.387512207031,0.0151198543394143,714.874659946987,730.019118536086,13.154083830163
2024-05-17 00:00:00,HDFCBANK.NS,722.286865234375,0.00263657128303731,714.974984305246,729.436090378534,13.0969483658382
